lane_id	from	to	capacity	eta	cost_cents	delay_hint
lane-hub-east-hub-central	hub-east	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-west-hub-central	hub-west	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-east	hub-central	hub-east	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-west	hub-central	hub-west	4	4	260	delays unlikely; short when delayed
lane-store-linz-kleinmuenchen-hub-east	store-linz-kleinmuenchen	hub-east	2	1	196	delays unlikely; medium when delayed
lane-hub-east-store-linz-kleinmuenchen	hub-east	store-linz-kleinmuenchen	2	1	152	delays unlikely; short when delayed
lane-store-vie-meidling-hub-east	store-vie-meidling	hub-east	2	3	182	delays unlikely; short when delayed
lane-hub-east-store-vie-meidling	hub-east	store-vie-meidling	2	2	124	delays unlikely; short when delayed
lane-store-linz-urfahr-hub-east	store-linz-urfahr	hub-east	1	2	194	delays unlikely; short when delayed
lane-hub-east-store-linz-urfahr	hub-east	store-linz-urfahr	2	1	118	delays unlikely; short when delayed
lane-store-innsbruck-mitte-hub-west	store-innsbruck-mitte	hub-west	3	1	174	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-mitte	hub-west	store-innsbruck-mitte	3	3	157	delays unlikely; short when delayed
lane-store-innsbruck-ost-hub-west	store-innsbruck-ost	hub-west	3	1	169	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-ost	hub-west	store-innsbruck-ost	3	2	183	delays unlikely; short when delayed
lane-store-salzburg-nord-hub-east	store-salzburg-nord	hub-east	2	2	169	delays unlikely; short when delayed
lane-hub-east-store-salzburg-nord	hub-east	store-salzburg-nord	1	2	141	delays unlikely; short when delayed
lane-store-linz-hafen-hub-east	store-linz-hafen	hub-east	3	3	126	delays unlikely; medium when delayed
lane-hub-east-store-linz-hafen	hub-east	store-linz-hafen	3	3	137	delays unlikely; medium when delayed
lane-store-graz-liebenau-hub-central	store-graz-liebenau	hub-central	1	2	146	delays unlikely; short when delayed
lane-hub-central-store-graz-liebenau	hub-central	store-graz-liebenau	1	3	161	delays unlikely; short when delayed
lane-store-graz-center-hub-central	store-graz-center	hub-central	3	3	165	delays unlikely; short when delayed
lane-hub-central-store-graz-center	hub-central	store-graz-center	1	3	154	delays unlikely; short when delayed
lane-direct-store-linz-kleinmuenchen-store-vie-meidling	store-linz-kleinmuenchen	store-vie-meidling	1	12	980	delays unlikely; short when delayed
lane-direct-store-linz-urfahr-store-innsbruck-mitte	store-linz-urfahr	store-innsbruck-mitte	1	6	856	delays unlikely; long when delayed
lane-direct-store-vie-meidling-store-innsbruck-ost	store-vie-meidling	store-innsbruck-ost	1	8	980	delays likely; long when delayed
lane-direct-store-salzburg-nord-store-linz-hafen	store-salzburg-nord	store-linz-hafen	1	10	787	delays likely; short when delayed
lane-direct-store-graz-liebenau-store-salzburg-nord	store-graz-liebenau	store-salzburg-nord	1	12	644	delays unlikely; medium when delayed
lane-direct-store-graz-center-store-linz-kleinmuenchen	store-graz-center	store-linz-kleinmuenchen	1	11	729	delays likely; medium when delayed
lane-direct-store-graz-center-store-graz-liebenau	store-graz-center	store-graz-liebenau	1	9	525	delays likely; long when delayed
lane-direct-store-salzburg-nord-store-innsbruck-mitte	store-salzburg-nord	store-innsbruck-mitte	1	7	858	delays unlikely; short when delayed
