package_id	sku	product_ref	from_store_id	from_store_ref	to_store_id	to_store_ref	due_time	margin_cents	reason
XFER-001	PT-WASH-BOS-UA135	/proc/catalog/Bosch Home and Garden/PT-WASH-BOS-UA135.json	store-linz-kleinmuenchen	/proc/locations/Linz/store-linz-kleinmuenchen.json	store-vie-meidling	/proc/locations/Vienna/store-vie-meidling.json	13	4497	store has no available units and incoming stock arrives later
XFER-002	PT-SAFE-3M-SF400-SMOKE	/proc/catalog/3M/PT-SAFE-3M-SF400-SMOKE.json	store-linz-urfahr	/proc/locations/Linz/store-linz-urfahr.json	store-innsbruck-mitte	/proc/locations/Innsbruck/store-innsbruck-mitte.json	15	900	store has current stock, but available quantity is low
XFER-003	PT-BLA-MAK-SPEC-165	/proc/catalog/Makita/PT-BLA-MAK-SPEC-165.json	store-vie-meidling	/proc/locations/Vienna/store-vie-meidling.json	store-innsbruck-ost	/proc/locations/Innsbruck/store-innsbruck-ost.json	23	900	store has no available units and incoming stock arrives soon
XFER-004	PT-SAW-DEW-DWE575K-BASE	/proc/catalog/DeWalt/PT-SAW-DEW-DWE575K-BASE.json	store-vie-meidling	/proc/locations/Vienna/store-vie-meidling.json	store-innsbruck-ost	/proc/locations/Innsbruck/store-innsbruck-ost.json	20	4497	store has no available units and incoming stock arrives soon
XFER-005	PT-HDG-BOS-UHC18-50-BODY	/proc/catalog/Bosch Home and Garden/PT-HDG-BOS-UHC18-50-BODY.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	store-linz-hafen	/proc/locations/Linz/store-linz-hafen.json	20	2997	store has no available units and incoming stock arrives later
XFER-006	PT-GRD-BOS-GWS1400-CASE	/proc/catalog/Bosch Professional/PT-GRD-BOS-GWS1400-CASE.json	store-graz-liebenau	/proc/locations/Graz/store-graz-liebenau.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	14	3747	store has no available units and incoming stock arrives later
XFER-007	PT-BIT-ALP-HSS-13	/proc/catalog/Alpen/PT-BIT-ALP-HSS-13.json	store-linz-urfahr	/proc/locations/Linz/store-linz-urfahr.json	store-innsbruck-mitte	/proc/locations/Innsbruck/store-innsbruck-mitte.json	14	900	store has current stock, but available quantity is low
XFER-008	PT-CMP-EIN-TEAC270-50S	/proc/catalog/Einhell/PT-CMP-EIN-TEAC270-50S.json	store-graz-center	/proc/locations/Graz/store-graz-center.json	store-linz-kleinmuenchen	/proc/locations/Linz/store-linz-kleinmuenchen.json	21	6997	store has no available units and incoming stock arrives later
XFER-009	PT-CMP-EIN-TEAC270-50KIT	/proc/catalog/Einhell/PT-CMP-EIN-TEAC270-50KIT.json	store-graz-center	/proc/locations/Graz/store-graz-center.json	store-graz-liebenau	/proc/locations/Graz/store-graz-liebenau.json	11	7997	store has no available units and incoming stock arrives soon
XFER-010	PT-SND-EIN-TERS18-25	/proc/catalog/Einhell/PT-SND-EIN-TERS18-25.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	store-innsbruck-mitte	/proc/locations/Innsbruck/store-innsbruck-mitte.json	13	2747	store has no available units and incoming stock arrives later
