row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku	archive_channel
AR-DcV62h	ap_VjmwEattFS	2024-09-10T04:31:44Z	arch_cust-0132	arch_store-vie-hietzing	Vienna	4990	EUR	pm_arch_N3PcbMTbaRJx	dev_arch_NFa1g4r2Sxi5	48.18642	16.28336	PT-BIT-ALP-HSS-COBALT	mobile_app
AR-AJkiH9	ap_9weWZ7xA8e	2024-09-10T04:32:01Z	arch_cust-0132	arch_store-innsbruck-west	Innsbruck	10990	EUR	pm_arch_5TDsA5b1WxYh	dev_arch_MBJyfPXET4Yy	47.26331	11.37221	PT-DRL-MAK-DDF485-BODY	mobile_app
AR-VwgJ65	ap_45qtUxLH8X	2024-09-10T04:32:08Z	arch_cust-0132	arch_store-linz-urfahr	Linz	4990	EUR	pm_arch_N3PcbMTbaRJx	dev_arch_NFa1g4r2Sxi5	48.32355	14.28526	PT-SAFE-UVEX-PHEOS-RESP	mobile_app
AR-TzL3KP	ap_KwjH4duQZ1	2024-09-10T04:32:26Z	arch_cust-0132	arch_store-innsbruck-ost	Innsbruck	4490	EUR	pm_arch_5TDsA5b1WxYh	dev_arch_MBJyfPXET4Yy	47.27159	11.43020	PT-BLA-BOS-EXPWOOD-190	mobile_app
AR-boqL87	ap_PRaVbd3MDG	2024-09-10T04:32:36Z	arch_cust-0132	arch_store-vie-donaustadt	Vienna	3490	EUR	pm_arch_N3PcbMTbaRJx	dev_arch_NFa1g4r2Sxi5	48.23976	16.45114	PT-BIT-BOS-CYL9-5LONG	mobile_app
AR-XCGoRr	ap_L8jVobT9zv	2024-09-10T04:32:44Z	arch_cust-0132	arch_store-graz-center	Graz	3990	EUR	pm_arch_5TDsA5b1WxYh	dev_arch_MBJyfPXET4Yy	47.07048	15.43984	PT-SAFE-UVEX-PHEOS-HELMET	mobile_app
AR-ES56ac	ap_LGGgAJz31Y	2024-09-10T04:33:22Z	arch_cust-0132	arch_store-innsbruck-mitte	Innsbruck	1190	EUR	pm_arch_5TDsA5b1WxYh	dev_arch_MBJyfPXET4Yy	47.26890	11.40426	PT-SAFE-3M-SF400-AMBER	mobile_app
AR-KM5YvC	ap_PM6XA8KaRR	2024-09-10T04:33:32Z	arch_cust-0132	arch_store-linz-hafen	Linz	3990	EUR	pm_arch_5TDsA5b1WxYh	dev_arch_MBJyfPXET4Yy	48.31365	14.30439	PT-DIG-VIDEO-GARAGE-STORAGE	mobile_app
AR-4CD99o	ap_3gzo9MXV7F	2024-09-10T04:34:00Z	arch_cust-0132	arch_store-vie-meidling	Vienna	4990	EUR	pm_arch_N3PcbMTbaRJx	dev_arch_NFa1g4r2Sxi5	48.17606	16.33477	PT-SAFE-UVEX-PHEOS-RESP	mobile_app
AR-TNFxyY	ap_CnDdip7PnP	2024-09-10T04:34:02Z	arch_cust-0132	arch_store-linz-kleinmuenchen	Linz	990	EUR	pm_arch_N3PcbMTbaRJx	dev_arch_NFa1g4r2Sxi5	48.25794	14.30721	PT-SAFE-3M-SF400-CLEAR	mobile_app
AR-BTSsRN	ap_GZcT1AhWjY	2024-09-10T04:34:44Z	arch_cust-0132	arch_store-graz-puntigam	Graz	1090	EUR	pm_arch_N3PcbMTbaRJx	dev_arch_NFa1g4r2Sxi5	47.03366	15.42308	PT-SAFE-3M-SF400-SMOKE	mobile_app
AR-62MGvi	ap_PpSpRAhoqR	2024-09-10T04:36:08Z	arch_cust-0132	arch_store-innsbruck-mitte	Innsbruck	5990	EUR	pm_arch_5TDsA5b1WxYh	dev_arch_MBJyfPXET4Yy	47.26918	11.40409	PT-BIT-ALP-HSS-41	mobile_app
AR-W2m9Xb	ap_4CsgD2ULxe	2024-09-11T04:31:44Z	arch_cust-0111	arch_store-vie-favoriten	Vienna	18990	EUR	pm_arch_PFrtmjukr1Kk	dev_arch_96Bmys8nJ788	48.15245	16.38265	PT-MOW-EIN-GECM36-BODY	service_desk
AR-WPJS6K	ap_R7QZzWPuXz	2024-09-11T04:32:01Z	arch_cust-0111	arch_store-vie-favoriten	Vienna	15990	EUR	pm_arch_CqkqMfDaLnKd	dev_arch_96Bmys8nJ788	48.15272	16.38254	PT-HDG-STI-HSA50-BODY	service_desk
AR-FdtMMF	ap_G4uBj7pzNv	2024-09-11T04:32:16Z	arch_cust-0111	arch_store-vie-meidling	Vienna	990	EUR	pm_arch_FJRjgBVFgbcR	dev_arch_96Bmys8nJ788	48.17555	16.33525	PT-SAFE-3M-SF400-CLEAR	service_desk
AR-CueHx1	ap_SWKUWKmXrS	2024-09-11T04:32:35Z	arch_cust-0111	arch_store-graz-center	Graz	5990	EUR	pm_arch_H1xyo7u6YDQe	dev_arch_96Bmys8nJ788	47.07093	15.43915	PT-BIT-ALP-HSS-41	service_desk
AR-ACt9oK	ap_UEJzb1XbWU	2024-09-11T04:33:12Z	arch_cust-0111	arch_store-salzburg-maxglan	Salzburg	19990	EUR	pm_arch_ADTAAMaeTifp	dev_arch_96Bmys8nJ788	47.79910	13.00149	PT-GRD-MET-W18-125-FLAT	service_desk
AR-KbhVzw	ap_EGHZCu48Ce	2024-09-11T04:33:20Z	arch_cust-0111	arch_store-linz-kleinmuenchen	Linz	14990	EUR	pm_arch_QBcwj9whkLWb	dev_arch_96Bmys8nJ788	48.25832	14.30713	PT-GRD-MET-W18-125-BODY	service_desk
AR-RyufiG	ap_ArdCjBWy7b	2024-09-11T04:33:32Z	arch_cust-0111	arch_store-innsbruck-ost	Innsbruck	17990	EUR	pm_arch_Rtbjm9qCMsGs	dev_arch_96Bmys8nJ788	47.27120	11.43021	PT-WASH-BOS-UA135	service_desk
AR-6ngkNA	ap_7wKAo5nVxU	2024-09-11T04:33:49Z	arch_cust-0111	arch_store-vie-favoriten	Vienna	3990	EUR	pm_arch_XsHL2VecBetj	dev_arch_96Bmys8nJ788	48.15285	16.38241	PT-DIG-VIDEO-GARAGE-STORAGE	service_desk
AR-U7USuL	ap_D7SehXCRt9	2024-09-11T04:34:18Z	arch_cust-0111	arch_store-vie-donaustadt	Vienna	3490	EUR	pm_arch_EtdV8RjttTKA	dev_arch_96Bmys8nJ788	48.23998	16.45072	PT-BIT-BOS-CYL9-5LONG	service_desk
AR-CCi9aq	ap_Py6gKYPzbK	2024-09-11T04:34:25Z	arch_cust-0111	arch_store-linz-urfahr	Linz	4990	EUR	pm_arch_CXSr7SMJvYj3	dev_arch_96Bmys8nJ788	48.32396	14.28491	PT-DIG-VIDEO-OUTDOOR-SHED	service_desk
AR-6rsRpT	ap_VSapHer4BR	2024-09-11T04:35:29Z	arch_cust-0111	arch_store-vie-favoriten	Vienna	1990	EUR	pm_arch_Ahr8XxemXRgM	dev_arch_96Bmys8nJ788	48.15294	16.38283	PT-BIT-BOS-CYL9-7	service_desk
AR-Fhj5ww	ap_AsGW1tqeQU	2024-09-11T04:35:34Z	arch_cust-0111	arch_store-innsbruck-west	Innsbruck	1490	EUR	pm_arch_WSvEpazqd8Bg	dev_arch_96Bmys8nJ788	47.26381	11.37222	PT-BIT-BOS-CYL9-4	service_desk
AR-eoRaQB	ap_N1bZbCAPbC	2024-09-21T22:01:44Z	arch_cust-0112	arch_store-graz-center	Graz	29990	EUR	pm_arch_TDiZT74okstp	dev_arch_BWxE2eYjAxfp	47.07063	15.43975	PT-MOW-EIN-GECM36-2X4	web
AR-eJXvj9	ap_XrRpi9psgE	2024-09-21T22:10:14Z	arch_cust-0119	arch_store-salzburg-nord	Salzburg	28990	EUR	pm_arch_BvTY2PwifUhz	dev_arch_BWxE2eYjAxfp	47.83172	13.04848	PT-DRL-MAK-DDF485-5AH	web
AR-ieUJVR	ap_9BxB86QUSU	2024-09-21T22:18:44Z	arch_cust-0126	arch_store-vie-meidling	Vienna	34990	EUR	pm_arch_D3X9xC2z6nWJ	dev_arch_BWxE2eYjAxfp	48.17567	16.33469	PT-SAW-MAK-DHS680-3AH	web
AR-3D8SFW	ap_TUDcws4QEk	2024-09-21T22:27:14Z	arch_cust-0133	arch_store-vie-donaustadt	Vienna	28990	EUR	pm_arch_2SANH5g2zi9z	dev_arch_BWxE2eYjAxfp	48.24006	16.45116	PT-DRL-MAK-DDF485-5AH	web
AR-iDz6Zd	ap_Fg3gWJkPFE	2024-09-21T22:35:44Z	arch_cust-0140	arch_store-innsbruck-west	Innsbruck	29990	EUR	pm_arch_HySCYRwAgrMH	dev_arch_BWxE2eYjAxfp	47.26333	11.37253	PT-GRD-MET-W18-125-4AH	web
AR-DYKW8s	ap_QWYDpWrBrN	2024-09-22T22:01:44Z	arch_cust-0115	arch_store-innsbruck-west	Innsbruck	38990	EUR	pm_arch_J1qDWqZKQeHQ	dev_arch_EQac1JK6ryRZ	47.26361	11.37260	PT-MOW-STI-RMA235-AK30	store_kiosk
