lane_id	from	to	capacity	eta	cost_cents	delay_hint
lane-hub-east-hub-central	hub-east	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-west-hub-central	hub-west	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-east	hub-central	hub-east	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-west	hub-central	hub-west	4	4	260	delays unlikely; short when delayed
lane-store-linz-kleinmuenchen-hub-east	store-linz-kleinmuenchen	hub-east	2	2	157	delays unlikely; medium when delayed
lane-hub-east-store-linz-kleinmuenchen	hub-east	store-linz-kleinmuenchen	3	3	163	delays unlikely; short when delayed
lane-store-innsbruck-west-hub-west	store-innsbruck-west	hub-west	3	3	105	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-west	hub-west	store-innsbruck-west	1	2	111	delays unlikely; short when delayed
lane-store-graz-puntigam-hub-central	store-graz-puntigam	hub-central	3	2	155	delays unlikely; short when delayed
lane-hub-central-store-graz-puntigam	hub-central	store-graz-puntigam	3	3	114	delays unlikely; short when delayed
lane-store-innsbruck-ost-hub-west	store-innsbruck-ost	hub-west	1	3	106	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-ost	hub-west	store-innsbruck-ost	1	2	178	delays unlikely; short when delayed
lane-store-linz-hafen-hub-east	store-linz-hafen	hub-east	1	3	102	delays unlikely; short when delayed
lane-hub-east-store-linz-hafen	hub-east	store-linz-hafen	2	1	93	delays unlikely; short when delayed
lane-store-salzburg-nord-hub-east	store-salzburg-nord	hub-east	1	2	210	delays unlikely; short when delayed
lane-hub-east-store-salzburg-nord	hub-east	store-salzburg-nord	1	2	144	delays unlikely; short when delayed
lane-store-graz-liebenau-hub-central	store-graz-liebenau	hub-central	2	3	189	delays unlikely; short when delayed
lane-hub-central-store-graz-liebenau	hub-central	store-graz-liebenau	2	1	149	delays unlikely; short when delayed
lane-store-innsbruck-mitte-hub-west	store-innsbruck-mitte	hub-west	2	1	161	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-mitte	hub-west	store-innsbruck-mitte	1	3	139	delays unlikely; medium when delayed
lane-store-graz-center-hub-central	store-graz-center	hub-central	3	3	207	delays unlikely; short when delayed
lane-hub-central-store-graz-center	hub-central	store-graz-center	1	1	124	delays unlikely; medium when delayed
lane-store-vie-favoriten-hub-east	store-vie-favoriten	hub-east	1	2	124	delays unlikely; medium when delayed
lane-hub-east-store-vie-favoriten	hub-east	store-vie-favoriten	3	2	183	delays unlikely; short when delayed
lane-store-vie-meidling-hub-east	store-vie-meidling	hub-east	1	1	161	delays unlikely; short when delayed
lane-hub-east-store-vie-meidling	hub-east	store-vie-meidling	3	1	91	delays unlikely; short when delayed
lane-store-vie-donaustadt-hub-east	store-vie-donaustadt	hub-east	3	2	97	delays unlikely; short when delayed
lane-hub-east-store-vie-donaustadt	hub-east	store-vie-donaustadt	1	2	91	delays unlikely; short when delayed
lane-store-linz-urfahr-hub-east	store-linz-urfahr	hub-east	2	1	193	delays unlikely; short when delayed
lane-hub-east-store-linz-urfahr	hub-east	store-linz-urfahr	3	1	189	delays unlikely; short when delayed
lane-direct-store-linz-kleinmuenchen-store-innsbruck-west	store-linz-kleinmuenchen	store-innsbruck-west	1	7	926	delays unlikely; short when delayed
lane-direct-store-graz-puntigam-store-innsbruck-ost	store-graz-puntigam	store-innsbruck-ost	1	8	578	delays often; short when delayed
lane-direct-store-linz-hafen-store-salzburg-nord	store-linz-hafen	store-salzburg-nord	1	5	957	delays likely; medium when delayed
lane-direct-store-graz-liebenau-store-salzburg-nord	store-graz-liebenau	store-salzburg-nord	1	6	607	delays likely; short when delayed
lane-direct-store-salzburg-nord-store-innsbruck-mitte	store-salzburg-nord	store-innsbruck-mitte	1	5	535	delays unlikely; medium when delayed
lane-direct-store-graz-center-store-vie-favoriten	store-graz-center	store-vie-favoriten	1	8	710	delays unlikely; short when delayed
lane-direct-store-vie-meidling-store-linz-hafen	store-vie-meidling	store-linz-hafen	1	10	800	delays likely; long when delayed
lane-direct-store-graz-liebenau-store-vie-donaustadt	store-graz-liebenau	store-vie-donaustadt	1	11	594	delays unlikely; short when delayed
lane-direct-store-linz-urfahr-store-innsbruck-mitte	store-linz-urfahr	store-innsbruck-mitte	1	5	700	delays unlikely; short when delayed
lane-direct-store-linz-kleinmuenchen-store-graz-liebenau	store-linz-kleinmuenchen	store-graz-liebenau	1	7	666	delays unlikely; long when delayed
