package_id	sku	product_ref	from_store_id	from_store_ref	to_store_id	to_store_ref	due_time	margin_cents	reason
XFER-001	PT-BLA-BOS-EXPWOOD-190	/proc/catalog/Bosch Professional/PT-BLA-BOS-EXPWOOD-190.json	store-linz-kleinmuenchen	/proc/locations/Linz/store-linz-kleinmuenchen.json	store-innsbruck-west	/proc/locations/Innsbruck/store-innsbruck-west.json	20	1122	store has no available units and incoming stock arrives later
XFER-002	PT-BIT-ALP-HSS-41	/proc/catalog/Alpen/PT-BIT-ALP-HSS-41.json	store-graz-puntigam	/proc/locations/Graz/store-graz-puntigam.json	store-innsbruck-ost	/proc/locations/Innsbruck/store-innsbruck-ost.json	16	1996	store has current stock, but available quantity is low
XFER-003	PT-SAFE-UVEX-PHEOS-HELMET	/proc/catalog/Uvex/PT-SAFE-UVEX-PHEOS-HELMET.json	store-linz-hafen	/proc/locations/Linz/store-linz-hafen.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	20	997	store has no available units and incoming stock arrives soon
XFER-004	PT-BIT-BOS-CYL9-4	/proc/catalog/Bosch Professional/PT-BIT-BOS-CYL9-4.json	store-graz-liebenau	/proc/locations/Graz/store-graz-liebenau.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	24	900	store has no available units and incoming stock arrives soon
XFER-005	PT-BIT-BOS-CYL9-7	/proc/catalog/Bosch Professional/PT-BIT-BOS-CYL9-7.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	store-innsbruck-mitte	/proc/locations/Innsbruck/store-innsbruck-mitte.json	22	900	store has no available units and incoming stock arrives later
XFER-006	PT-CMP-EIN-TEAC270-50S	/proc/catalog/Einhell/PT-CMP-EIN-TEAC270-50S.json	store-graz-center	/proc/locations/Graz/store-graz-center.json	store-vie-favoriten	/proc/locations/Vienna/store-vie-favoriten.json	20	6997	store has no available units and incoming stock arrives soon
XFER-007	PT-SAFE-UVEX-PHEOS-RESP	/proc/catalog/Uvex/PT-SAFE-UVEX-PHEOS-RESP.json	store-vie-meidling	/proc/locations/Vienna/store-vie-meidling.json	store-linz-hafen	/proc/locations/Linz/store-linz-hafen.json	21	1662	store has current stock, but available quantity is low
XFER-008	PT-SAFE-UVEX-PHEOS-RESP	/proc/catalog/Uvex/PT-SAFE-UVEX-PHEOS-RESP.json	store-graz-liebenau	/proc/locations/Graz/store-graz-liebenau.json	store-vie-donaustadt	/proc/locations/Vienna/store-vie-donaustadt.json	19	1662	store has current stock, but available quantity is low
XFER-009	PT-SND-BOS-GEX125-CASE	/proc/catalog/Bosch Professional/PT-SND-BOS-GEX125-CASE.json	store-linz-urfahr	/proc/locations/Linz/store-linz-urfahr.json	store-innsbruck-mitte	/proc/locations/Innsbruck/store-innsbruck-mitte.json	28	3996	store has current stock, but available quantity is low
XFER-010	PT-MOW-STI-RMA235-BODY	/proc/catalog/Stihl/PT-MOW-STI-RMA235-BODY.json	store-linz-kleinmuenchen	/proc/locations/Linz/store-linz-kleinmuenchen.json	store-graz-liebenau	/proc/locations/Graz/store-graz-liebenau.json	19	5497	store has no available units and incoming stock arrives later
