row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku	archive_channel
AR-TeZ6Ke	ap_VYdqroNtPt	2024-05-06T11:43:55Z	arch_cust-0171	arch_store-graz-liebenau	Graz	6980	EUR	pm_arch_Hk76gz91JQur	dev_arch_FpxQhdb2YeyF	47.03399	15.46412	PT-BIT-ALP-HSS-25	web
AR-AUeXQP	ap_2szkHVAEfG	2024-05-07T17:45:08Z	arch_cust-0171	arch_store-vie-donaustadt	Vienna	6980	EUR	pm_arch_EPZUCEAWrmsM	dev_arch_FpxQhdb2YeyF	48.23970	16.45095	PT-BIT-BOS-CYL9-12	web
AR-9wDYv4	ap_XjkqqvRGqB	2024-05-08T15:10:06Z	arch_cust-0171	arch_store-vie-hietzing	Vienna	2980	EUR	pm_arch_Hk76gz91JQur	dev_arch_FpxQhdb2YeyF	48.18636	16.28331	PT-DIG-GUIDE-SAW-BLADES	store_terminal
AR-QrtqP5	ap_gxLvdrNyeY	2024-05-09T12:40:28Z	arch_cust-0171	arch_store-graz-eggenberg	Graz	13980	EUR	pm_arch_EPZUCEAWrmsM	dev_arch_TfQnRRF4z1uw	47.07411	15.39888	PT-DIG-COURSE-SAW-STRAIGHT-CUTS	web
AR-7U13zX	ap_3HDDNJ7YfD	2024-05-10T10:05:53Z	arch_cust-0171	arch_store-linz-kleinmuenchen	Linz	13980	EUR	pm_arch_Hk76gz91JQur	dev_arch_TfQnRRF4z1uw	48.25808	14.30713	PT-DIG-COURSE-SAW-STRAIGHT-CUTS	store_terminal
AR-LxA2u1	ap_4wtYg5hKzs	2024-05-11T18:07:08Z	arch_cust-0171	arch_store-innsbruck-ost	Innsbruck	16990	EUR	pm_arch_EPZUCEAWrmsM	dev_arch_TfQnRRF4z1uw	47.27175	11.43006	PT-IMP-MIL-M18FID3-BODY	web
AR-GT8W3M	ap_YCCq549AvQ	2024-05-12T15:45:31Z	arch_cust-0171	arch_store-vie-favoriten	Vienna	18990	EUR	pm_arch_Hk76gz91JQur	dev_arch_FpxQhdb2YeyF	48.15260	16.38244	PT-MOW-EIN-GECM36-BODY	web
AR-3uuiUP	ap_WtaDna1EFd	2024-05-13T15:02:09Z	arch_cust-0171	arch_store-innsbruck-mitte	Innsbruck	990	EUR	pm_arch_EPZUCEAWrmsM	dev_arch_FpxQhdb2YeyF	47.26933	11.40389	PT-SAFE-3M-SF400-CLEAR	web
AR-8WTxop	ap_JGVpD4hUiL	2024-05-14T15:27:05Z	arch_cust-0171	arch_store-vie-donaustadt	Vienna	1490	EUR	pm_arch_Hk76gz91JQur	dev_arch_FpxQhdb2YeyF	48.23975	16.45094	PT-DIG-GUIDE-SAW-BLADES	store_terminal
AR-6tLgQX	ap_WpiH8k8zeM	2024-05-15T15:09:14Z	arch_cust-0171	arch_store-vie-meidling	Vienna	27990	EUR	pm_arch_EPZUCEAWrmsM	dev_arch_TfQnRRF4z1uw	48.17570	16.33475	PT-CMP-EIN-TEAC270-50S	web
