lane_id	from	to	capacity	eta	cost_cents	delay_hint
lane-hub-east-hub-central	hub-east	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-west-hub-central	hub-west	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-east	hub-central	hub-east	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-west	hub-central	hub-west	4	4	260	delays unlikely; short when delayed
lane-store-linz-urfahr-hub-east	store-linz-urfahr	hub-east	1	2	104	delays unlikely; medium when delayed
lane-hub-east-store-linz-urfahr	hub-east	store-linz-urfahr	3	3	146	delays unlikely; short when delayed
lane-store-innsbruck-mitte-hub-west	store-innsbruck-mitte	hub-west	1	3	144	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-mitte	hub-west	store-innsbruck-mitte	2	2	97	delays unlikely; medium when delayed
lane-store-linz-kleinmuenchen-hub-east	store-linz-kleinmuenchen	hub-east	3	2	133	delays unlikely; short when delayed
lane-hub-east-store-linz-kleinmuenchen	hub-east	store-linz-kleinmuenchen	2	1	165	delays unlikely; short when delayed
lane-store-vie-meidling-hub-east	store-vie-meidling	hub-east	2	2	200	delays unlikely; short when delayed
lane-hub-east-store-vie-meidling	hub-east	store-vie-meidling	1	1	128	delays unlikely; medium when delayed
lane-store-graz-liebenau-hub-central	store-graz-liebenau	hub-central	2	3	157	delays unlikely; short when delayed
lane-hub-central-store-graz-liebenau	hub-central	store-graz-liebenau	3	3	175	delays unlikely; short when delayed
lane-store-graz-center-hub-central	store-graz-center	hub-central	2	3	169	delays unlikely; short when delayed
lane-hub-central-store-graz-center	hub-central	store-graz-center	3	2	146	delays unlikely; short when delayed
lane-store-salzburg-alpenstrasse-hub-east	store-salzburg-alpenstrasse	hub-east	2	1	138	delays unlikely; short when delayed
lane-hub-east-store-salzburg-alpenstrasse	hub-east	store-salzburg-alpenstrasse	2	2	153	delays unlikely; short when delayed
lane-store-salzburg-nord-hub-east	store-salzburg-nord	hub-east	3	1	169	delays unlikely; short when delayed
lane-hub-east-store-salzburg-nord	hub-east	store-salzburg-nord	1	3	163	delays unlikely; short when delayed
lane-store-graz-puntigam-hub-central	store-graz-puntigam	hub-central	1	2	131	delays unlikely; short when delayed
lane-hub-central-store-graz-puntigam	hub-central	store-graz-puntigam	2	1	160	delays unlikely; short when delayed
lane-direct-store-linz-urfahr-store-innsbruck-mitte	store-linz-urfahr	store-innsbruck-mitte	1	5	672	delays likely; long when delayed
lane-direct-store-linz-kleinmuenchen-store-vie-meidling	store-linz-kleinmuenchen	store-vie-meidling	1	11	564	delays likely; long when delayed
lane-direct-store-linz-kleinmuenchen-store-graz-liebenau	store-linz-kleinmuenchen	store-graz-liebenau	1	8	796	delays likely; medium when delayed
lane-direct-store-graz-center-store-vie-meidling	store-graz-center	store-vie-meidling	1	6	605	delays likely; short when delayed
lane-direct-store-linz-urfahr-store-salzburg-alpenstrasse	store-linz-urfahr	store-salzburg-alpenstrasse	1	10	802	delays likely; medium when delayed
lane-direct-store-salzburg-nord-store-salzburg-alpenstrasse	store-salzburg-nord	store-salzburg-alpenstrasse	1	9	755	delays likely; medium when delayed
lane-direct-store-graz-puntigam-store-salzburg-alpenstrasse	store-graz-puntigam	store-salzburg-alpenstrasse	1	12	880	delays unlikely; short when delayed
lane-direct-store-vie-meidling-store-linz-kleinmuenchen	store-vie-meidling	store-linz-kleinmuenchen	1	7	890	delays often; long when delayed
lane-direct-store-salzburg-nord-store-innsbruck-mitte	store-salzburg-nord	store-innsbruck-mitte	1	12	657	delays unlikely; long when delayed
