package_id	sku	product_ref	from_store_id	from_store_ref	to_store_id	to_store_ref	due_time	margin_cents	reason
XFER-001	PT-IMP-MIL-M18FID3-2AH	/proc/products/cat-power-tools/kind-impact-drivers/PT-IMP-MIL-M18FID3-2AH.json	store-linz-urfahr	/proc/stores/store-linz-urfahr.json	store-innsbruck-mitte	/proc/stores/store-innsbruck-mitte.json	10	9329	store has current stock, but available quantity is low
XFER-002	PT-WASH-BOS-UA135	/proc/products/cat-garden-outdoor/kind-pressure-washers/PT-WASH-BOS-UA135.json	store-linz-kleinmuenchen	/proc/stores/store-linz-kleinmuenchen.json	store-vie-meidling	/proc/stores/store-vie-meidling.json	28	4497	store has no available units and incoming stock arrives later
XFER-003	PT-WASH-BOS-UA135	/proc/products/cat-garden-outdoor/kind-pressure-washers/PT-WASH-BOS-UA135.json	store-linz-kleinmuenchen	/proc/stores/store-linz-kleinmuenchen.json	store-graz-liebenau	/proc/stores/store-graz-liebenau.json	9	4497	store has no available units and incoming stock arrives later
XFER-004	PT-WASH-KAR-K4-PIPE	/proc/products/cat-garden-outdoor/kind-pressure-washers/PT-WASH-KAR-K4-PIPE.json	store-graz-center	/proc/stores/store-graz-center.json	store-vie-meidling	/proc/stores/store-vie-meidling.json	16	9497	store has no available units and incoming stock arrives soon
XFER-005	PT-SND-BOS-GEX125-DUST	/proc/products/cat-workshop-site/kind-random-orbit-sanders/PT-SND-BOS-GEX125-DUST.json	store-linz-urfahr	/proc/stores/store-linz-urfahr.json	store-salzburg-alpenstrasse	/proc/stores/store-salzburg-alpenstrasse.json	27	4996	store has current stock, but available quantity is low
XFER-006	PT-SND-EIN-TERS18-25	/proc/products/cat-workshop-site/kind-random-orbit-sanders/PT-SND-EIN-TERS18-25.json	store-salzburg-nord	/proc/stores/store-salzburg-nord.json	store-salzburg-alpenstrasse	/proc/stores/store-salzburg-alpenstrasse.json	23	2747	store has no available units and incoming stock arrives soon
XFER-007	PT-HDG-STI-HSA50-AK10	/proc/products/cat-garden-outdoor/kind-hedge-trimmers/PT-HDG-STI-HSA50-AK10.json	store-graz-puntigam	/proc/stores/store-graz-puntigam.json	store-salzburg-alpenstrasse	/proc/stores/store-salzburg-alpenstrasse.json	24	8329	store has current stock, but available quantity is low
XFER-008	PT-BLA-MAK-SPEC-165	/proc/products/cat-hardware-consumables/kind-saw-blade-sets/PT-BLA-MAK-SPEC-165.json	store-vie-meidling	/proc/stores/store-vie-meidling.json	store-linz-kleinmuenchen	/proc/stores/store-linz-kleinmuenchen.json	10	1162	store has current stock, but available quantity is low
XFER-009	PT-SAW-DEW-DWE575K-BASE	/proc/products/cat-workshop-site/kind-circular-saws/PT-SAW-DEW-DWE575K-BASE.json	store-vie-meidling	/proc/stores/store-vie-meidling.json	store-linz-kleinmuenchen	/proc/stores/store-linz-kleinmuenchen.json	15	5996	store has current stock, but available quantity is low
XFER-010	PT-GRD-MET-W18-125-4AH	/proc/products/cat-power-tools/kind-angle-grinders/PT-GRD-MET-W18-125-4AH.json	store-salzburg-nord	/proc/stores/store-salzburg-nord.json	store-innsbruck-mitte	/proc/stores/store-innsbruck-mitte.json	22	7497	store has no available units and incoming stock arrives later
