AR-DKmh74	ap_J7NV3MpqRU	2024-12-21T14:01:21Z	arch_cust-0008	arch_store-innsbruck-ost	Innsbruck	17990	EUR	pm_arch_H74wD3Fxjehz	dev_arch_48kpyVTR8t6B	47.27106	11.43002	PT-WASH-BOS-UA135	web
AR-T2KNf1	ap_CRBjpcgdZ3	2024-12-21T14:17:21Z	arch_cust-0171	arch_store-graz-eggenberg	Graz	1990	EUR	pm_arch_5avEFcAeYerv	dev_arch_EgpjuWYoyCWk	47.07371	15.39882	PT-BIT-BOS-CYL9-7	web
AR-ZkJXUK	ap_2HCLsEESnL	2024-12-21T14:38:21Z	arch_cust-0085	arch_store-graz-center	Graz	59980	EUR	pm_arch_AvhR4EVeAakT	dev_arch_4bWUUWvwWQtq	47.07089	15.43915	PT-WASH-KAR-K4-HOME	store_terminal
AR-XScPx7	ap_75GxmFeevh	2024-12-21T20:28:21Z	arch_cust-0046	arch_store-vie-favoriten	Vienna	990	EUR	pm_arch_BX2eGrZA6sVT	dev_arch_GLkzN4Sqnnh1	48.15270	16.38269	PT-SAFE-3M-SF400-CLEAR	web
AR-j13SQY	ap_76Kra7829B	2024-12-21T20:46:21Z	arch_cust-0140	arch_store-graz-eggenberg	Graz	29990	EUR	pm_arch_5xdD3PJEgiUo	dev_arch_M4ecaNvV2Wqb	47.07393	15.39856	PT-GRD-MET-W18-125-4AH	mobile_app
AR-LXcBbS	ap_955wUEKsDm	2024-12-21T20:56:21Z	arch_cust-0009	arch_store-vie-meidling	Vienna	43980	EUR	pm_arch_RbgrXWRh4zSZ	dev_arch_SGAkwJWHsB56	48.17598	16.33515	PT-DRL-MAK-DDF485-3AH	store_terminal
AR-KFVDS3	ap_JoRH3e5WBP	2024-12-21T21:16:21Z	arch_cust-0097	arch_store-graz-liebenau	Graz	13990	EUR	pm_arch_CtGyngpAgVTj	dev_arch_PiVfQLQFFNB1	47.03409	15.46439	PT-SND-EIN-TERS18-40	store_terminal
AR-hN5kJA	ap_MurdEqU1Rq	2024-12-22T03:40:21Z	arch_cust-0090	arch_store-vie-favoriten	Vienna	2180	EUR	pm_arch_9z6ZPAYV4sMB	dev_arch_JzVDbPCN7Qiz	48.15269	16.38254	PT-SAFE-3M-SF400-SMOKE	store_terminal
AR-7oj6Nx	ap_61yub9Mi8z	2024-12-22T05:41:21Z	arch_cust-0143	arch_store-innsbruck-west	Innsbruck	27990	EUR	pm_arch_Cke6h4L73UzW	dev_arch_Vx4uEPXnpzis	47.26331	11.37228	PT-CMP-EIN-TEAC270-50S	web
AR-eQyVXj	ap_JX4Fkp4QRc	2024-12-22T07:23:21Z	arch_cust-0039	arch_store-vie-meidling	Vienna	5990	EUR	pm_arch_6Guhj5ABXMYt	dev_arch_4rU7aH9TxQu8	48.17561	16.33530	PT-SND-EIN-TERS18-BODY	web
AR-9yBBLA	ap_Do8ZXQsuu5	2024-12-22T13:16:21Z	arch_cust-0100	arch_store-salzburg-nord	Salzburg	17990	EUR	pm_arch_Tpx9TW3uKxqB	dev_arch_3KRTkp3Eo1xK	47.83219	13.04839	PT-SAW-DEW-DWE575K-BASE	web
AR-afafZF	ap_Bw1DjvJPan	2024-12-22T13:34:21Z	arch_cust-0089	arch_store-salzburg-alpenstrasse	Salzburg	37990	EUR	pm_arch_h9MFRV9X7LHf	dev_arch_QSBjKrtyPvKt	47.77616	13.06425	PT-WASH-KAR-K4-PIPE	web
AR-esAuGt	ap_YF1UTCMo6m	2024-12-22T17:16:21Z	arch_cust-0151	arch_store-salzburg-nord	Salzburg	4990	EUR	pm_arch_EkVEbc3yTDCg	dev_arch_4uWJxUi2k2PU	47.83156	13.04833	PT-SAFE-UVEX-PHEOS-RESP	store_terminal
AR-RH6nN9	ap_Ep9VJXe2nU	2024-12-22T18:52:21Z	arch_cust-0053	arch_store-salzburg-maxglan	Salzburg	3980	EUR	pm_arch_W6eFnNYB7SDH	dev_arch_51d1MThTAsw9	47.79912	13.00153	PT-BIT-BOS-CYL9-7	web
AR-VSXjnB	ap_TXRmm953qm	2024-12-22T21:28:21Z	arch_cust-0024	arch_store-graz-puntigam	Graz	14990	EUR	pm_arch_Wpr6QeDEDv6i	dev_arch_XiC2jseEbxb1	47.03309	15.42310	PT-SND-BOS-GEX125-DUST	web
AR-cDsFsZ	ap_Jyb1Gm9aT1	2024-12-22T21:40:21Z	arch_cust-0118	arch_store-innsbruck-ost	Innsbruck	11990	EUR	pm_arch_5tNdmEpvXwS1	dev_arch_3mkLTvPTCs6p	47.27144	11.43053	PT-DRL-BOS-GSR55-BODY	store_terminal
