lane_id	from	to	capacity	eta	cost_cents	delay_hint
lane-hub-east-hub-central	hub-east	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-west-hub-central	hub-west	hub-central	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-east	hub-central	hub-east	4	4	260	delays unlikely; short when delayed
lane-hub-central-hub-west	hub-central	hub-west	4	4	260	delays unlikely; short when delayed
lane-store-vie-donaustadt-hub-east	store-vie-donaustadt	hub-east	1	1	113	delays likely; short when delayed
lane-hub-east-store-vie-donaustadt	hub-east	store-vie-donaustadt	1	2	208	delays unlikely; short when delayed
lane-store-graz-center-hub-central	store-graz-center	hub-central	2	2	128	delays unlikely; medium when delayed
lane-hub-central-store-graz-center	hub-central	store-graz-center	1	2	148	delays unlikely; short when delayed
lane-store-vie-meidling-hub-east	store-vie-meidling	hub-east	3	1	149	delays unlikely; short when delayed
lane-hub-east-store-vie-meidling	hub-east	store-vie-meidling	1	3	201	delays unlikely; short when delayed
lane-store-linz-hafen-hub-east	store-linz-hafen	hub-east	2	1	148	delays unlikely; short when delayed
lane-hub-east-store-linz-hafen	hub-east	store-linz-hafen	1	3	130	delays unlikely; short when delayed
lane-store-linz-urfahr-hub-east	store-linz-urfahr	hub-east	3	2	197	delays unlikely; short when delayed
lane-hub-east-store-linz-urfahr	hub-east	store-linz-urfahr	3	3	141	delays unlikely; short when delayed
lane-store-innsbruck-mitte-hub-west	store-innsbruck-mitte	hub-west	1	1	170	delays unlikely; medium when delayed
lane-hub-west-store-innsbruck-mitte	hub-west	store-innsbruck-mitte	1	1	198	delays unlikely; short when delayed
lane-store-graz-puntigam-hub-central	store-graz-puntigam	hub-central	1	3	147	delays unlikely; medium when delayed
lane-hub-central-store-graz-puntigam	hub-central	store-graz-puntigam	2	3	114	delays unlikely; short when delayed
lane-store-graz-liebenau-hub-central	store-graz-liebenau	hub-central	3	1	203	delays unlikely; short when delayed
lane-hub-central-store-graz-liebenau	hub-central	store-graz-liebenau	3	1	133	delays unlikely; short when delayed
lane-store-innsbruck-ost-hub-west	store-innsbruck-ost	hub-west	1	1	179	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-ost	hub-west	store-innsbruck-ost	2	1	123	delays unlikely; medium when delayed
lane-store-salzburg-nord-hub-east	store-salzburg-nord	hub-east	2	1	169	delays unlikely; short when delayed
lane-hub-east-store-salzburg-nord	hub-east	store-salzburg-nord	1	1	91	delays unlikely; short when delayed
lane-store-innsbruck-west-hub-west	store-innsbruck-west	hub-west	2	1	141	delays unlikely; short when delayed
lane-hub-west-store-innsbruck-west	hub-west	store-innsbruck-west	1	1	156	delays unlikely; short when delayed
lane-direct-store-vie-donaustadt-store-graz-center	store-vie-donaustadt	store-graz-center	1	8	841	delays often; long when delayed
lane-direct-store-vie-meidling-store-linz-hafen	store-vie-meidling	store-linz-hafen	1	8	531	delays likely; short when delayed
lane-direct-store-linz-urfahr-store-innsbruck-mitte	store-linz-urfahr	store-innsbruck-mitte	1	7	857	delays likely; short when delayed
lane-direct-store-vie-donaustadt-store-graz-puntigam	store-vie-donaustadt	store-graz-puntigam	1	6	704	delays likely; long when delayed
lane-direct-store-graz-liebenau-store-vie-donaustadt	store-graz-liebenau	store-vie-donaustadt	1	12	533	delays unlikely; long when delayed
lane-direct-store-graz-puntigam-store-innsbruck-ost	store-graz-puntigam	store-innsbruck-ost	1	5	974	delays unlikely; short when delayed
lane-direct-store-vie-meidling-store-vie-donaustadt	store-vie-meidling	store-vie-donaustadt	1	12	733	delays likely; short when delayed
lane-direct-store-salzburg-nord-store-linz-hafen	store-salzburg-nord	store-linz-hafen	1	9	787	delays likely; short when delayed
lane-direct-store-salzburg-nord-store-innsbruck-mitte	store-salzburg-nord	store-innsbruck-mitte	1	5	849	delays likely; medium when delayed
lane-direct-store-graz-center-store-innsbruck-west	store-graz-center	store-innsbruck-west	1	12	593	delays likely; long when delayed
