package_id	sku	product_ref	from_store_id	from_store_ref	to_store_id	to_store_ref	due_time	margin_cents	reason
XFER-001	PT-SAFE-UVEX-PHEOS-HELMET	/proc/catalog/Uvex/PT-SAFE-UVEX-PHEOS-HELMET.json	store-vie-donaustadt	/proc/locations/Vienna/store-vie-donaustadt.json	store-graz-center	/proc/locations/Graz/store-graz-center.json	10	997	store has no available units and incoming stock arrives soon
XFER-002	PT-WASH-KAR-K4-HOME	/proc/catalog/Karcher/PT-WASH-KAR-K4-HOME.json	store-vie-meidling	/proc/locations/Vienna/store-vie-meidling.json	store-linz-hafen	/proc/locations/Linz/store-linz-hafen.json	26	9996	store has current stock, but available quantity is low
XFER-003	PT-SAFE-3M-SF400-SMOKE	/proc/catalog/3M/PT-SAFE-3M-SF400-SMOKE.json	store-linz-urfahr	/proc/locations/Linz/store-linz-urfahr.json	store-innsbruck-mitte	/proc/locations/Innsbruck/store-innsbruck-mitte.json	22	900	store has current stock, but available quantity is low
XFER-004	PT-BIT-BOS-CYL9-15	/proc/catalog/Bosch Professional/PT-BIT-BOS-CYL9-15.json	store-vie-donaustadt	/proc/locations/Vienna/store-vie-donaustadt.json	store-graz-puntigam	/proc/locations/Graz/store-graz-puntigam.json	8	997	store has no available units and incoming stock arrives later
XFER-005	PT-WASH-KAR-K4-HOME	/proc/catalog/Karcher/PT-WASH-KAR-K4-HOME.json	store-graz-liebenau	/proc/locations/Graz/store-graz-liebenau.json	store-vie-donaustadt	/proc/locations/Vienna/store-vie-donaustadt.json	11	9996	store has current stock, but available quantity is low
XFER-006	PT-SAFE-3M-SF400-10PK	/proc/catalog/3M/PT-SAFE-3M-SF400-10PK.json	store-graz-puntigam	/proc/locations/Graz/store-graz-puntigam.json	store-innsbruck-ost	/proc/locations/Innsbruck/store-innsbruck-ost.json	10	2662	store has current stock, but available quantity is low
XFER-007	PT-CMP-AIR-CA240-SET	/proc/catalog/Aircraft/PT-CMP-AIR-CA240-SET.json	store-vie-meidling	/proc/locations/Vienna/store-vie-meidling.json	store-vie-donaustadt	/proc/locations/Vienna/store-vie-donaustadt.json	15	7329	store has current stock, but available quantity is low
XFER-008	PT-SND-EIN-TERS18-25	/proc/catalog/Einhell/PT-SND-EIN-TERS18-25.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	store-linz-hafen	/proc/locations/Linz/store-linz-hafen.json	24	2747	store has no available units and incoming stock arrives later
XFER-009	PT-SAFE-3M-SF400-READER	/proc/catalog/3M/PT-SAFE-3M-SF400-READER.json	store-salzburg-nord	/proc/locations/Salzburg/store-salzburg-nord.json	store-innsbruck-mitte	/proc/locations/Innsbruck/store-innsbruck-mitte.json	12	900	store has no available units and incoming stock arrives later
XFER-010	PT-BLA-BOS-EXPWOOD-160	/proc/catalog/Bosch Professional/PT-BLA-BOS-EXPWOOD-160.json	store-graz-center	/proc/locations/Graz/store-graz-center.json	store-innsbruck-west	/proc/locations/Innsbruck/store-innsbruck-west.json	23	997	store has no available units and incoming stock arrives soon
