row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku	archive_channel
AR-S7nJVB	ap_FVXDwQmmzT	2024-05-10T16:37:02Z	arch_cust-0102	arch_store-vie-donaustadt	Vienna	19980	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_FxqsATyhGh6s	48.23966	16.45101	PT-SND-BOS-GEX125-BOX	web
AR-2q5L9k	ap_4Mn8mjRAcB	2024-05-11T13:03:42Z	arch_cust-0102	arch_store-linz-urfahr	Linz	59980	EUR	pm_arch_92exGJWKhdXa	dev_arch_FxqsATyhGh6s	48.32378	14.28478	PT-MOW-EIN-GECM36-2X4	web
AR-ZU1NyU	ap_Tiiw1J4ax2	2024-05-12T11:19:14Z	arch_cust-0102	arch_store-vie-favoriten	Vienna	13980	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_FxqsATyhGh6s	48.15247	16.38220	PT-DIG-COURSE-SAW-STRAIGHT-CUTS	web
AR-9u2KEj	ap_Cuw4Zjbx91	2024-05-13T14:27:01Z	arch_cust-0102	arch_store-innsbruck-west	Innsbruck	5990	EUR	pm_arch_92exGJWKhdXa	dev_arch_T3ndQVhNGrKK	47.26369	11.37266	PT-DIG-COURSE-GRINDER-SAFETY	store_terminal
AR-QDpQcj	ap_LSvw4UsB5f	2024-05-14T16:48:04Z	arch_cust-0102	arch_store-salzburg-nord	Salzburg	1290	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_T3ndQVhNGrKK	47.83173	13.04853	PT-DIG-GUIDE-DRILL-BITS	store_terminal
AR-MCiqJh	ap_PzbqD7rFBk	2024-05-15T14:44:48Z	arch_cust-0102	arch_store-innsbruck-ost	Innsbruck	43980	EUR	pm_arch_92exGJWKhdXa	dev_arch_T3ndQVhNGrKK	47.27129	11.43029	PT-WASH-BOS-UA135-PATIO	web
AR-gGDtEd	ap_UDZhNCWgi7	2024-05-16T16:48:58Z	arch_cust-0102	arch_store-linz-hafen	Linz	2490	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_FxqsATyhGh6s	48.31360	14.30468	PT-BIT-BOS-CYL9-8	web
AR-SphAjK	ap_BiuVxVYcvs	2024-05-17T14:15:39Z	arch_cust-0102	arch_store-linz-urfahr	Linz	7990	EUR	pm_arch_92exGJWKhdXa	dev_arch_FxqsATyhGh6s	48.32362	14.28473	PT-SAFE-3M-SF400-10PK	web
AR-LqjPDY	ap_FHmEH58rxe	2024-05-18T12:35:37Z	arch_cust-0102	arch_store-linz-hafen	Linz	2980	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_FxqsATyhGh6s	48.31353	14.30420	PT-DIG-GUIDE-SAW-BLADES	store_terminal
AR-gb2b8G	ap_XVHfDR2Hod	2024-05-19T11:35:15Z	arch_cust-0102	arch_store-innsbruck-mitte	Innsbruck	33980	EUR	pm_arch_92exGJWKhdXa	dev_arch_T3ndQVhNGrKK	47.26911	11.40422	PT-IMP-MIL-M18FID3-BODY	store_terminal
AR-h8942P	ap_TaTw3xxHDe	2024-05-20T13:04:49Z	arch_cust-0102	arch_store-linz-urfahr	Linz	7990	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_T3ndQVhNGrKK	48.32362	14.28516	PT-SAFE-3M-SF400-10PK	web
AR-2d8wxW	ap_NfpQUxGpGu	2024-05-21T13:46:42Z	arch_cust-0102	arch_store-salzburg-alpenstrasse	Salzburg	32990	EUR	pm_arch_92exGJWKhdXa	dev_arch_T3ndQVhNGrKK	47.77635	13.06406	PT-WASH-KAR-K4-PREMIUM	store_terminal
AR-6Hdt3W	ap_UQjMzhtoxb	2024-05-22T16:18:12Z	arch_cust-0102	arch_store-innsbruck-ost	Innsbruck	35980	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_FxqsATyhGh6s	47.27128	11.43051	PT-WASH-BOS-UA135	store_terminal
AR-wvvN6A	ap_23ctntoRNR	2024-05-23T11:01:05Z	arch_cust-0102	arch_store-vie-meidling	Vienna	59980	EUR	pm_arch_92exGJWKhdXa	dev_arch_FxqsATyhGh6s	48.17572	16.33525	PT-GRD-MET-W18-125-4AH	store_terminal
AR-AdB9eg	ap_FrQpLfTsdx	2024-05-24T04:50:24Z	arch_cust-0102	arch_store-linz-urfahr	Linz	31410	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_SDePw1gkdsi3	48.32366	14.28484	PT-BIT-ALP-HSS-25	mobile_app
AR-MQo5J9	ap_FyJrvQ9fNK	2024-05-24T05:08:42Z	arch_cust-0102	arch_store-innsbruck-west	Innsbruck	42990	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_SDePw1gkdsi3	47.26368	11.37271	PT-SAW-MAK-DHS680-5AH	web
AR-RQTHs8	ap_QUNrWbUdrr	2024-05-24T05:12:40Z	arch_cust-0102	arch_store-innsbruck-mitte	Innsbruck	38990	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_SDePw1gkdsi3	47.26942	11.40407	PT-MOW-STI-RMA235-AK30	mobile_app
AR-8neyzi	ap_T7uWCi23SE	2024-05-24T05:17:42Z	arch_cust-0102	arch_store-salzburg-alpenstrasse	Salzburg	31410	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_SDePw1gkdsi3	47.77575	13.06388	PT-BIT-BOS-CYL9-5LONG	web
AR-XgKTcB	ap_Rx2SuxezZH	2024-05-24T05:34:35Z	arch_cust-0102	arch_store-vie-favoriten	Vienna	45980	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_SDePw1gkdsi3	48.15287	16.38219	PT-HDG-BOS-UHC18-50-40	web
AR-L6GLre	ap_MGxXsQZLcg	2024-05-24T05:50:24Z	arch_cust-0102	arch_store-innsbruck-west	Innsbruck	42990	EUR	pm_arch_RpoyNFe3DfK4	dev_arch_SDePw1gkdsi3	47.26354	11.37231	PT-SAW-MAK-DHS680-5AH	web
AR-HnLERt	ap_VhjwQu1srE	2024-06-15T14:51:39Z	arch_cust-0084	arch_store-salzburg-alpenstrasse	Salzburg	2990	EUR	pm_arch_2f9Sw89mzL3i	dev_arch_UjidHSVgtCef	47.77615	13.06383	PT-BIT-BOS-CYL9-10	store_terminal
AR-JRYoBz	ap_9xwdpsVkvy	2024-06-16T11:50:52Z	arch_cust-0084	arch_store-vie-meidling	Vienna	8980	EUR	pm_arch_LD4g2ECrSESn	dev_arch_UjidHSVgtCef	48.17611	16.33526	PT-BIT-ALP-HSS-REDUCED	web
AR-BG1Mx2	ap_EqukDEyKnP	2024-06-17T17:35:44Z	arch_cust-0084	arch_store-vie-hietzing	Vienna	6980	EUR	pm_arch_2f9Sw89mzL3i	dev_arch_UjidHSVgtCef	48.18630	16.28350	PT-BIT-ALP-HSS-25	store_terminal
AR-6WKqnw	ap_76xfSvUeLL	2024-06-18T12:44:36Z	arch_cust-0084	arch_store-graz-liebenau	Graz	8580	EUR	pm_arch_LD4g2ECrSESn	dev_arch_A74kMcd7azgF	47.03404	15.46418	PT-BLA-MAK-SPEC-190	store_terminal
AR-SqCQuo	ap_AFkVt2VnG8	2024-06-19T10:39:07Z	arch_cust-0084	arch_store-salzburg-maxglan	Salzburg	22990	EUR	pm_arch_2f9Sw89mzL3i	dev_arch_A74kMcd7azgF	47.79903	13.00182	PT-SAW-DEW-DWE575K-SITE	web
AR-TftNJH	ap_A3dXcKJUA6	2024-06-20T12:23:10Z	arch_cust-0084	arch_store-innsbruck-mitte	Innsbruck	69980	EUR	pm_arch_LD4g2ECrSESn	dev_arch_A74kMcd7azgF	47.26946	11.40445	PT-WASH-KAR-K4-CAR	web
AR-MF39Lt	ap_HBKCBzsgqM	2024-06-21T01:55:47Z	arch_cust-0084	arch_store-graz-eggenberg	Graz	42990	EUR	pm_arch_2f9Sw89mzL3i	dev_arch_LbihXynuPCDG	47.07404	15.39898	PT-SAW-MAK-DHS680-5AH	mobile_app
AR-5ECNWx	ap_C1M3SQg2Cm	2024-06-21T02:09:35Z	arch_cust-0084	arch_store-innsbruck-mitte	Innsbruck	34990	EUR	pm_arch_CGiuqFroXrTU	dev_arch_LbihXynuPCDG	47.26906	11.40390	PT-SAW-MAK-DHS680-3AH	mobile_app
AR-SH7NiQ	ap_L9iMsQVCRi	2024-06-21T02:15:52Z	arch_cust-0084	arch_store-vie-donaustadt	Vienna	29940	EUR	pm_arch_2f9Sw89mzL3i	dev_arch_LbihXynuPCDG	48.23981	16.45077	PT-DIG-COURSE-DRILL-BASICS	mobile_app
AR-5xMrw5	ap_CCCpYp7kLg	2024-06-21T02:19:30Z	arch_cust-0084	arch_store-vie-favoriten	Vienna	29990	EUR	pm_arch_CGiuqFroXrTU	dev_arch_LbihXynuPCDG	48.15238	16.38246	PT-GRD-MET-W18-125-4AH	mobile_app
AR-VgofdR	ap_JcPRuJHptH	2024-06-21T02:27:27Z	arch_cust-0084	arch_store-salzburg-nord	Salzburg	85980	EUR	pm_arch_2f9Sw89mzL3i	dev_arch_LbihXynuPCDG	47.83173	13.04818	PT-SAW-MAK-DHS680-5AH	mobile_app
AR-cAXqpB	ap_6cT32bNKgJ	2024-06-21T02:55:43Z	arch_cust-0084	arch_store-linz-kleinmuenchen	Linz	28310	EUR	pm_arch_CGiuqFroXrTU	dev_arch_LbihXynuPCDG	48.25790	14.30697	PT-BIT-BOS-CYL9-4	mobile_app
AR-9xyVMS	ap_JifHTtAvXd	2024-06-28T08:29:26Z	arch_cust-0074	arch_store-innsbruck-west	Innsbruck	29990	EUR	pm_arch_G28vwQpzRZqG	dev_arch_6KViUzhjsVdz	47.26383	11.37258	PT-BIT-ALP-HSS-31	web
AR-dpNS2v	ap_GL9ta7pdFR	2024-06-28T08:42:44Z	arch_cust-0074	arch_store-salzburg-alpenstrasse	Salzburg	29990	EUR	pm_arch_38Mah4MAAFT5	dev_arch_6KViUzhjsVdz	47.77641	13.06427	PT-BIT-ALP-HSS-31	web
AR-fguEsm	ap_5sQxyvxyLK	2024-06-28T08:53:38Z	arch_cust-0074	arch_store-linz-kleinmuenchen	Linz	29990	EUR	pm_arch_G28vwQpzRZqG	dev_arch_3TKmLbotTEHa	48.25833	14.30743	PT-BIT-ALP-HSS-31	web
AR-6CR343	ap_MqE9h9qJxY	2024-06-28T09:17:26Z	arch_cust-0074	arch_store-innsbruck-mitte	Innsbruck	29990	EUR	pm_arch_38Mah4MAAFT5	dev_arch_3TKmLbotTEHa	47.26921	11.40420	PT-BIT-ALP-HSS-31	web
