row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku_summary	archive_channel
AR-hQ2vHR	ap_RZ7Bq92yWf	2022-07-15T20:49:48Z	arch_cust_097	arch_store_ljubljana_center	Ljubljana	5100	EUR	pm_arch_Rcf2qfWSX6cW	dev_arch_UitdmU2qR7Fr	46.05112	14.50528	Osram Warm Classic 2NL-Z7I	store_terminal
AR-MvtE1T	ap_KSjgDD4CWA	2022-07-15T23:27:48Z	arch_cust_098	arch_store_linz_hauptplatz	Linz	29400	EUR	pm_arch_BzPcx3c6nSu5	dev_arch_Pgj7JXEiqxmK	48.30687	14.28598	Bosch Workshop GSR 3JW-ULH	web
AR-ZTq9Gu	ap_LYmC2wYPxH	2022-07-16T00:37:48Z	arch_cust_082	arch_store_vienna_praterstern	Vienna	19400	EUR	pm_arch_WWdPWbYvazCB	dev_arch_S3rEi4nRRtoM	48.21921	16.39253	Keter Compact Stack 99Z-RIS	store_terminal
AR-kfNJcm	ap_XYVm9fSYnJ	2022-07-16T01:25:48Z	arch_cust_003	arch_store_bratislava_stare_mesto	Bratislava	7900	EUR	pm_arch_3BPE91YEZZnx	dev_arch_VLwyAUqH9Bjy	48.14399	17.10984	Sika Professional Sika 1NG-QLV	web
AR-6Tr53p	ap_Tx8tNG3qy7	2022-07-16T02:25:48Z	arch_cust_065	arch_store_salzburg_elisabeth_vorstadt	Salzburg	2000	EUR	pm_arch_7V2YH4d3juXx	dev_arch_Pk6a9igGVER6	47.81312	13.04566	Pattex Repair Extreme Repair 1LS-G5B	web
AR-gRsstj	ap_6bY1U8o7Lk	2022-07-16T03:21:48Z	arch_cust_050	arch_store_brno_veveri	Brno	7200	EUR	pm_arch_316JPxWMyLS9	dev_arch_JpM5xt1raFAj	49.20477	16.59346	Michelin Winter Radius 75U-4UQ	store_terminal
AR-fZYkbc	ap_Pweo4uYyn6	2022-07-16T07:45:48Z	arch_cust_074	arch_store_vienna_meidling	Vienna	4200	EUR	pm_arch_XmehJ9BeYRXg	dev_arch_Up9EpAnBEzZb	48.17535	16.33573	Dickies Fleece Redhawk MRB-WYE	web
AR-SCryWB	ap_HK3PPGT8bj	2022-07-16T08:58:48Z	arch_cust_042	arch_store_graz_jakomini	Graz	6800	EUR	pm_arch_UsD3z7kCMm12	dev_arch_FeTaWeV8mDUC	47.06583	15.44327	Raaco Stackable Assorter 20C-L8E	web
AR-VgoZ9E	ap_RgXGxwa7Mc	2022-07-16T09:13:48Z	arch_cust_056	arch_store_vienna_praterstern	Vienna	20100	EUR	pm_arch_EZVG6Kj1UtFg	dev_arch_K6Ls3vKBq27Y	48.21918	16.39267	Shell Professional Advance 1PO-W67	web
AR-Lh21ZW	ap_5fAZQhqgRA	2022-07-16T10:42:48Z	arch_cust_082	arch_store_vienna_meidling	Vienna	249900	EUR	pm_arch_WWdPWbYvazCB	dev_arch_Wf8i8sT6zhda	48.17516	16.33548	Makita LXT DDF WIL-JD6	web
