row_id	archive_payment_id	created_at	customer_ref	store_ref	store_city	amount_cents	currency	payment_method_fingerprint	device_fingerprint	observed_lat	observed_lon	sku_summary	archive_channel
AR-RfhW9H	ap_LyUKQYVBW3	2023-10-01T16:53:18Z	arch_cust_003	arch_store_linz_hauptplatz	Linz	400	EUR	pm_arch_Xftdk8YTi5L6	dev_arch_GM1LSdLDJ1p7	48.30697	14.28596	Dresselhaus Outdoor Pro 1VG-P5G	store_terminal
AR-afcyef	ap_FZ6RWNyLwG	2023-10-01T18:11:18Z	arch_cust_010	arch_store_salzburg_elisabeth_vorstadt	Salzburg	6600	EUR	pm_arch_Ef9JLvVewjhN	dev_arch_wXYZYhvEbka7	47.81315	13.04574	Mellerud Bio MEL 233-MOB	store_terminal
AR-f2uo2W	ap_MaevcXRimt	2023-10-01T20:14:18Z	arch_cust_100	arch_store_graz_jakomini	Graz	10400	EUR	pm_arch_AaUYKHpu15xL	dev_arch_8xhkoQkaqTKt	47.06569	15.44317	Mobil All Season Super 1ZE-TCR	web
AR-ESqEM7	ap_PGnbnxPj1u	2023-10-01T20:19:18Z	arch_cust_009	arch_store_bratislava_stare_mesto	Bratislava	7000	EUR	pm_arch_5jUZDKsC71fg	dev_arch_2DWCGfNXH6qZ	48.14407	17.10989	Bondex Garden Classic 106-TS1	web
AR-Dv4zwn	ap_Luzku3ipr4	2023-10-01T22:23:18Z	arch_cust_066	arch_store_vienna_meidling	Vienna	700	EUR	pm_arch_BjFKhP1JrBCX	dev_arch_E4rfFTM7TNee	48.17528	16.33581	Sonax Premium Gloss 304-ZK0	store_terminal
AR-SqtzZ3	ap_26CM4vwp7b	2023-10-01T23:46:18Z	arch_cust_023	arch_store_vienna_praterstern	Vienna	23400	EUR	pm_arch_4eRqDNyerDcs	dev_arch_S23WsjS17qYy	48.21929	16.39251	Schneider Electric Heavy Duty Merten 214-ZHY	store_terminal
AR-TEb55X	ap_5md3BjHAKc	2023-10-02T00:53:18Z	arch_cust_022	arch_store_graz_lend	Graz	200	EUR	pm_arch_F94NUfw9hbXx	dev_arch_2ic15t3ZNih7	47.07340	15.42577	Dresselhaus Outdoor Pro 1VG-P5G	store_terminal
AR-ULxUmC	ap_LNPDCpMSA4	2023-10-02T05:10:18Z	arch_cust_058	arch_store_brno_veveri	Brno	12400	EUR	pm_arch_Jb4SX2CyT7v4	dev_arch_HDPQUF2nzcpA	49.20481	16.59378	Engelbert Strauss e.s.vision e.s. 150-ZC6	web
AR-Kuy7fr	ap_TjTGgCuTPG	2023-10-02T07:53:18Z	arch_cust_034	arch_store_bratislava_stare_mesto	Bratislava	14000	EUR	pm_arch_FcH12SnNcqse	dev_arch_Adetd8D6o1Ap	48.14407	17.10996	Schneider Electric Heavy Duty Merten 214-ZHY	store_terminal
AR-dJ5uRs	ap_GrMtiLnVHD	2023-10-02T09:14:18Z	arch_cust_096	arch_store_bratislava_stare_mesto	Bratislava	27600	EUR	pm_arch_LiMugEvvGmmS	dev_arch_659L4nhKmt6M	48.14403	17.10951	Fiskars Battery X 1CD-A3X	web
AR-j8iuKH	ap_54nFGckBHk	2023-10-02T10:05:18Z	arch_cust_058	arch_store_vienna_meidling	Vienna	3200	EUR	pm_arch_8Mv62LEFAy1j	dev_arch_QNchowWf5rST	48.17468	16.33555	Geberit Mapress Silent IC5-GU6	store_terminal
AR-hWBQr2	ap_PKaXp3N2AG	2023-10-02T13:05:18Z	arch_cust_030	arch_store_graz_lend	Graz	2400	EUR	pm_arch_B5GtqN6RDFgC	dev_arch_J8xRov4oqqWi	47.07316	15.42632	Heco Unix HECO 2VD-VNA	store_terminal
AR-TLi1dr	ap_2dSDcayReS	2023-10-02T14:13:18Z	arch_cust_059	arch_store_vienna_meidling	Vienna	18200	EUR	pm_arch_Ux117HSYC5pi	dev_arch_Skrc3jXfmqop	48.17491	16.33564	Keter Deep Stack 2OO-VJU	web
AR-R3QgSo	ap_5TrSboqknk	2023-10-02T15:17:18Z	arch_cust_052	arch_store_ljubljana_center	Ljubljana	7000	EUR	pm_arch_83qPMyhZV4Tg	dev_arch_D2sXz489f32C	46.05128	14.50531	3M Ventilated SecureFit 2CE-B35	store_terminal
AR-UVSvM7	ap_PYHUyUzDfQ	2023-10-02T18:06:18Z	arch_cust_016	arch_store_vienna_praterstern	Vienna	7900	EUR	pm_arch_GRcwRTQ8mUFh	dev_arch_QeQxFZCkm4Sh	48.21922	16.39225	Wiha VDE VDE 13X-B49	store_terminal
AR-gC8Qy3	ap_NZauoKBQYN	2023-10-02T18:33:18Z	arch_cust_048	arch_store_linz_hauptplatz	Linz	4800	EUR	pm_arch_T8Q1vt8ZvYju	dev_arch_QnrY1ftGuXnj	48.30720	14.28562	Fischer SX SX 7UY-G03	web
AR-ipo4bZ	ap_UqufPmMoqh	2023-10-02T20:05:18Z	arch_cust_080	arch_store_bratislava_stare_mesto	Bratislava	1400	EUR	pm_arch_hfV6RrdeJnoB	dev_arch_7v6aCwMAh5XX	48.14380	17.10951	Bahco Workshop BAH 3VZ-SPH	web
AR-Wc4BKD	ap_UpEyGnhaX8	2023-10-02T23:13:18Z	arch_cust_096	arch_store_brno_veveri	Brno	7600	EUR	pm_arch_LiMugEvvGmmS	dev_arch_Ubrr8contCkW	49.20484	16.59351	Gorilla Crystal Grip 2ZQ-D83	store_terminal
AR-HepHJa	ap_5VNy6NtmmB	2023-10-03T02:08:18Z	arch_cust_099	arch_store_vienna_praterstern	Vienna	12000	EUR	pm_arch_DAotDSTxcfrB	dev_arch_VqPy64GZA4eK	48.21885	16.39225	Gorilla Crystal Grip 2ZQ-D83	store_terminal
AR-5nf9UX	ap_5b3Vfu3Jo4	2023-10-03T02:13:18Z	arch_cust_088	arch_store_vienna_meidling	Vienna	9600	EUR	pm_arch_NqUB5sd6HgmV	dev_arch_PSAkPgNyxNRZ	48.17516	16.33532	Sonax Workshop XTREME 218-FC5	web
AR-hvJb7B	ap_RN7iJzhkij	2023-10-03T02:15:18Z	arch_cust_033	arch_store_bratislava_stare_mesto	Bratislava	2800	EUR	pm_arch_VPAk8WvxwUb2	dev_arch_8az7EJHrUykV	48.14386	17.10958	Gorilla Crystal Grip 2ZQ-D83	web
